Category,Mean_Accuracy,Std_Deviation,Number_of_Pairs
car,1.0,0.0,15
duck,0.9867,0.0499,15
face,1.0,0.0,15
motorbike,1.0,0.0,15
winebottle,0.9733,0.0998,15
