Category,Mean_Accuracy,Std_Deviation,Number_of_Pairs
car,1.0,0.0,15
duck,0.9733,0.068,15
face,1.0,0.0,15
motorbike,0.9467,0.136,15
winebottle,1.0,0.0,15
